Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cpsc12at012.csv,,,,,,,,,,,,,,,,
"Appendix table 12. Standard erros for appendix table 11: Adult and juvenile drug and mental health problem-solving court programs, by case characteristics and outcomes, 2012",,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 12. Standard erros for appendix table 11: Adult and juvenile drug and mental health problem-solving court programs, by case characteristics and outcomes, 2012",,,,,,,,,,,,,,,,
,,,,Drug courts,,,,,,,Mental health courts,,,,,
Case characteristic and outcome,,All courts,,Total,,Adult,,Juvenile,,,Total,,Adult,,Juvenile,
Point of entry,,,,,,,,,,,,,,,,
,Pre-plea or case filing,0.27,%,0.33,%,0.38,%,0.65,%,,0.8,%,0.85,%,2.43,%
,Post-plea,0.25,,0.32,,0.34,,0.71,,,0.72,,0.74,,2.43,
,Post-sentence or release,0.25,,0.36,,0.41,,0.71,,,0.79,,0.83,,2.34,
,Judicial order,0.14,,0.1,,0.1,,0.27,,,0.3,,0.29,,1.48,
,Other,0.1,,0.07,,0.06,,0.18,,,0.13,,0.15,,0,
Time in program,,,,,,,,,,,,,,,,
,5 months or less,0.27,%,0.28,%,0.32,%,0.59,%,,0.72,%,0.77,%,1.95,%
,6–11 months,0.3,,0.39,,0.4,,0.82,,,0.93,,0.97,,2.88,
,12–23 months,0.32,,0.43,,0.5,,0.77,,,0.96,,1.03,,2.67,
,24–35 months,0.14,,0.23,,0.3,,0.2,,,0.42,,0.47,,0,
,36 months or more,0.08,,0.14,,0.19,,0.1,,,0.14,,0.15,,0,
Percent of participants successfully completing program,,,,,,,,,,,,,,,,
,None,0.16,%,0.19,%,0.22,%,0.38,%,,0.5,%,0.54,%,1.13,%
,1–25%,0.14,,0.18,,0.2,,0.38,,,0.44,,0.47,,1.13,
,24–50%,0.27,,0.37,,0.43,,0.73,,,0.81,,0.85,,2.68,
,51–75%,0.28,,0.37,,0.44,,0.73,,,0.82,,0.85,,2.83,
,76–99%,0.23,,0.24,,0.28,,0.45,,,0.65,,0.69,,1.57,
,100%,0.18,,0.17,,0.18,,0.42,,,0.48,,0.52,,1.13,
Benefit of successful completion,,,,,,,,,,,,,,,,
,Case dismissed,0.27,%,0.35,%,0.41,%,0.69,%,,0.72,%,0.75,%,2.27,%
,Sentence suspended,0.26,,0.37,,0.43,,0.66,,,0.82,,0.86,,2.19,
,Record expunged,0.24,,0.33,,0.37,,0.68,,,0.68,,0.72,,2.09,
,Expedited settlement,0.18,,0.19,,0.23,,0.37,,,0.53,,0.58,,0.88,
,Other,0.26,,0.34,,0.4,,0.64,,,0.74,,0.76,,2.5,
Track after graduation,,,,,,,,,,,,,,,,
,Yes,0.27,%,0.37,%,0.43,%,0.71,%,,0.8,%,0.84,%,2.42,%
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,
