Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cpsc12at09.csv,,,,,,,,,,,,,,,,
"Appendix table 9. Services commonly used by drug and mental health problem-solving court participants, by type of court and population ",,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 9. Services commonly used by drug and mental health problem-solving court participants, by type of court and population ",,,,,,,,,,,,,,,,
"served, 2012",,,,,,,,,,,,,,,,
,,,,Drug courts,,,,,,,Mental health courts,,,,,
Type of service,,All courts,,Total,,Adult*,,Juvenile,,,Total,,Adult*,,Juvenile,
Drug or alcohol treatment,,,,,,,,,,,,,,,,
,Substance abuse treatment,86.8,%,95.5,%,96.1,%,93.7,%**,,77.1,%,77.8,%,71,%**
,Integrated substance abuse and mental health treatment,60.4,,62.5,,63.8,,58.8,**,,85.5,,88.3,,61.3,**
,Medication as a treatment strategy,28.1,,22.5,,26.5,,11.4,**,,59.9,,61.7,,45.2,**
Counseling ,,,,,,,,,,,,,,,,
,Individual,89.2,%,94,%,94.2,%,93.6,%,,94.9,%,94.7,%,96.8,%**
,Outpatient,59.5,,56.1,,57.5,,51.9,**,,97,,97.4,,93.5,**
,Cognitive behavioral therapy,57.3,,60.1,,61.1,,57.3,**,,72.7,,71.8,,80.6,**
,Crisis stabilization,32.2,,25.8,,26.9,,22.8,**,,79.5,,81.2,,64.5,**
,Inpatient mental health treatment,27.6,,21.1,,20.1,,23.7,**,,66.3,,68.4,,48.4,**
,Other,20.8,,19,,16.6,,25.7,**,,23.6,,21.9,,38.7,**
Personal support,,,,,,,,,,,,,,,,
,Life skills,71.8,%,73.5,%,73.4,%,74,%,,80.5,%,79.7,%,87.1,%**
,GED class,56.7,,66.8,,69.9,,58.2,**,,49.2,,50.8,,35.5,**
,Job training and employment readiness program,53.9,,58.4,,64.7,,40.9,**,,56.6,,60.5,,22.6,**
,Transportation,50.7,,48.8,,48,,51,**,,76.4,,79.3,,51.6,**
,Locating housing,50.3,,44.8,,55.6,,14.5,**,,79.8,,86.5,,22.6,**
,Accessing benefits,48.5,,42.2,,48.1,,25.7,**,,82.2,,88,,32.3,**
,Health education,32.3,,34.2,,35.5,,30.4,**,,40.1,,42.1,,22.6,**
,Financial counseling,25.2,,23.7,,29.5,,7.6,**,,30,,33.1,,3.2,**
,Financial assistance,20.2,,15.9,,20.2,,3.8,**,,36.4,,40.2,,3.2,**
,Civil legal assistance,13.7,,9.8,,11.3,,5.4,**,,16.8,,18.4,,3.2,**
,Culture-specific services,12.5,,11.3,,9.8,,15.6,**,,12.5,,12.8,,9.7,**
,Other,39.5,,36.1,,42.5,,18,**,,42.1,,44,,25.8,**
Victim or offender support,,,,,,,,,,,,,,,,
,Anger management,49.3,%,47.1,%,45.9,%,50.6,%**,,51.9,%,52.3,%,48.4,%
,Batterer,14.7,,6.4,,8.5,,0.3,**,,10.8,,11.7,,3.2,**
,Other,18.1,,9.5,,9.6,,9.5,,,11.4,,10.9,,16.1,**
Note: Detail sums to more than 100% because multiple responses were allowed. Percentages are based on item response rates of 96.9% for drug and 95.6% for mental health courts. See appendix table 10 for standard errors.,,,,,,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,,,,,,
**Difference with comparison group is significant at the 95% confidence level.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Census of Problem-Solving Courts, 2012.",,,,,,,,,,,,,,,,
