Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cpsc12at08csv,,,,,,,,,,,,,,,,
"Appendix table 8. Standard errors for table 9 and appendix table 7: Characteristics of drug and mental health problem-solving courts, by type of court and population served, 2012",,,,,,,,,,,,,,,,
"Report title: Census of Problem-Solving Courts, 2012 NCJ 249803",,,,,,,,,,,,,,,,
"Data source: Census of Problem-Solving Courts, 2012",,,,,,,,,,,,,,,,
"Authors: Suzanne M. Strong, Ph.D., and Ramona R. Rantala, Tracey Kyckelhahn, Ph.D.",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,,
Date of version: 09/07/2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 8. Standard errors for table 9 and appendix table 7: Characteristics of drug and mental health problem-solving courts, by type of court and population served, 2012",,,,,,,,,,,,,,,,
,,,,Drug courts,,,,,,,Mental health courts,,,,,
Court size,,All courts,,Total,,Adult,,Juvenile,,,Total,,Adult,,Juvenile,
Capacity,,,,,,,,,,,,,,,,
,9 or fewer,0.11,%,0.1,%,0.07,%,0.31,%,,0.23,%,0.21,%,1.23,%
,10–19,0.21,,0.25,,0.23,,0.67,,,0.61,,0.6,,2.47,
,20–49,0.28,,0.36,,0.4,,0.72,,,0.81,,0.85,,2.5,
,50–99,0.22,,0.31,,0.38,,0.41,,,0.66,,0.72,,0.88,
,100 or more,0.22,,0.29,,0.36,,0.31,,,0.57,,0.63,,0,
Admissions,,,,,,,,,,,,,,,,
,9 or fewer,0.22,%,0.27,%,0.29,%,0.66,%,,0.66,%,0.69,%,2.33,%
,10–19,0.23,,0.32,,0.34,,0.71,,,0.7,,0.73,,2.39,
,20–49,0.26,,0.35,,0.41,,0.67,,,0.79,,0.83,,2.33,
,50–99,0.2,,0.26,,0.33,,0.37,,,0.54,,0.59,,1.27,
,100 or more,0.21,,0.24,,0.3,,0.28,,,0.56,,0.63,,0,
Active participants,,,,,,,,,,,,,,,,
,9 or fewer,0.21,%,0.26,%,0.24,%,0.67,%,,0.59,%,0.58,%,2.43,%
,10–19,0.23,,0.29,,0.3,,0.69,,,0.66,,0.68,,2.34,
,20–49,0.25,,0.34,,0.4,,0.59,,,0.78,,0.82,,2.19,
,50–99,0.19,,0.26,,0.33,,0.29,,,0.51,,0.56,,0.88,
,100 or more,0.2,,0.25,,0.32,,0.23,,,0.53,,0.58,,0,
Exits,,,,,,,,,,,,,,,,
,9 or fewer,0.26,%,0.31,%,0.34,%,0.73,%,,0.8,%,0.83,%,2.58,%
,10–19,0.24,,0.31,,0.35,,0.65,,,0.74,,0.79,,1.95,
,20–49,0.25,,0.34,,0.4,,0.65,,,0.74,,0.78,,2.31,
,50–99,0.19,,0.25,,0.32,,0.29,,,0.49,,0.54,,0.94,
,100 or more,0.19,,0.21,,0.27,,0.27,,,0.44,,0.49,,0,
